Ten-Year Age Groups	Ten-Year Age Groups Code	Multiple Cause of death	Multiple Cause of death Code	Year	Year Code	Deaths	Population	Crude Rate
45-54 years	45-54	Heroin	T40.1	2013	2013	1673	43767532	3.8
45-54 years	45-54	Heroin	T40.1	2014	2014	2072	43458851	4.8
45-54 years	45-54	Heroin	T40.1	2015	2015	2471	43188161	5.7
45-54 years	45-54	Heroin	T40.1	2016	2016	3055	42786679	7.1
45-54 years	45-54	Heroin	T40.1	2017	2017	3080	42374952	7.3
45-54 years	45-54	Heroin	T40.1	2018	2018	2965	41631699	7.1
45-54 years	45-54	Heroin	T40.1	2019	2019	2799	40874902	6.8
45-54 years	45-54	Other opioids	T40.2	1999	1999	769	36577819	2.1
45-54 years	45-54	Other opioids	T40.2	2000	2000	877	37677952	2.3
45-54 years	45-54	Other opioids	T40.2	2001	2001	1055	39386268	2.7
45-54 years	45-54	Other opioids	T40.2	2002	2002	1420	39992194	3.6
45-54 years	45-54	Other opioids	T40.2	2003	2003	1576	40819954	3.9
45-54 years	45-54	Other opioids	T40.2	2004	2004	1758	41629930	4.2
45-54 years	45-54	Other opioids	T40.2	2005	2005	1981	42495904	4.7
45-54 years	45-54	Other opioids	T40.2	2006	2006	2350	43286159	5.4
45-54 years	45-54	Other opioids	T40.2	2007	2007	2670	43939939	6.1
45-54 years	45-54	Other opioids	T40.2	2008	2008	2995	44460447	6.7
45-54 years	45-54	Other opioids	T40.2	2009	2009	3225	44867088	7.2
45-54 years	45-54	Other opioids	T40.2	2010	2010	3485	45006716	7.7
45-54 years	45-54	Other opioids	T40.2	2011	2011	3697	44718203	8.3
45-54 years	45-54	Other opioids	T40.2	2012	2012	3538	44268738	8
45-54 years	45-54	Other opioids	T40.2	2013	2013	3559	43767532	8.1
45-54 years	45-54	Other opioids	T40.2	2014	2014	3638	43458851	8.4
45-54 years	45-54	Other opioids	T40.2	2015	2015	3629	43188161	8.4
45-54 years	45-54	Other opioids	T40.2	2016	2016	3898	42786679	9.1
45-54 years	45-54	Other opioids	T40.2	2017	2017	3805	42374952	9
45-54 years	45-54	Other opioids	T40.2	2018	2018	3036	41631699	7.3
45-54 years	45-54	Other opioids	T40.2	2019	2019	2758	40874902	6.7
45-54 years	45-54	Methadone	T40.3	1999	1999	208	36577819	0.6
45-54 years	45-54	Methadone	T40.3	2000	2000	293	37677952	0.8
45-54 years	45-54	Methadone	T40.3	2001	2001	460	39386268	1.2
45-54 years	45-54	Methadone	T40.3	2002	2002	699	39992194	1.7
45-54 years	45-54	Methadone	T40.3	2003	2003	894	40819954	2.2
45-54 years	45-54	Methadone	T40.3	2004	2004	1092	41629930	2.6
45-54 years	45-54	Methadone	T40.3	2005	2005	1362	42495904	3.2
45-54 years	45-54	Methadone	T40.3	2006	2006	1603	43286159	3.7
45-54 years	45-54	Methadone	T40.3	2007	2007	1587	43939939	3.6
45-54 years	45-54	Methadone	T40.3	2008	2008	1534	44460447	3.5
45-54 years	45-54	Methadone	T40.3	2009	2009	1377	44867088	3.1
45-54 years	45-54	Methadone	T40.3	2010	2010	1300	45006716	2.9
45-54 years	45-54	Methadone	T40.3	2011	2011	1232	44718203	2.8
45-54 years	45-54	Methadone	T40.3	2012	2012	1057	44268738	2.4
45-54 years	45-54	Methadone	T40.3	2013	2013	947	43767532	2.2
45-54 years	45-54	Methadone	T40.3	2014	2014	896	43458851	2.1
45-54 years	45-54	Methadone	T40.3	2015	2015	870	43188161	2
45-54 years	45-54	Methadone	T40.3	2016	2016	822	42786679	1.9
45-54 years	45-54	Methadone	T40.3	2017	2017	778	42374952	1.8
45-54 years	45-54	Methadone	T40.3	2018	2018	757	41631699	1.8
45-54 years	45-54	Methadone	T40.3	2019	2019	675	40874902	1.7
45-54 years	45-54	Other synthetic narcotics	T40.4	1999	1999	214	36577819	0.6
45-54 years	45-54	Other synthetic narcotics	T40.4	2000	2000	246	37677952	0.7
45-54 years	45-54	Other synthetic narcotics	T40.4	2001	2001	288	39386268	0.7
45-54 years	45-54	Other synthetic narcotics	T40.4	2002	2002	397	39992194	1
45-54 years	45-54	Other synthetic narcotics	T40.4	2003	2003	429	40819954	1.1
45-54 years	45-54	Other synthetic narcotics	T40.4	2004	2004	559	41629930	1.3
45-54 years	45-54	Other synthetic narcotics	T40.4	2005	2005	577	42495904	1.4
45-54 years	45-54	Other synthetic narcotics	T40.4	2006	2006	892	43286159	2.1
45-54 years	45-54	Other synthetic narcotics	T40.4	2007	2007	719	43939939	1.6
45-54 years	45-54	Other synthetic narcotics	T40.4	2008	2008	779	44460447	1.8
45-54 years	45-54	Other synthetic narcotics	T40.4	2009	2009	1005	44867088	2.2
45-54 years	45-54	Other synthetic narcotics	T40.4	2010	2010	977	45006716	2.2
45-54 years	45-54	Other synthetic narcotics	T40.4	2011	2011	863	44718203	1.9
45-54 years	45-54	Other synthetic narcotics	T40.4	2012	2012	821	44268738	1.9
45-54 years	45-54	Other synthetic narcotics	T40.4	2013	2013	923	43767532	2.1
45-54 years	45-54	Other synthetic narcotics	T40.4	2014	2014	1404	43458851	3.2
45-54 years	45-54	Other synthetic narcotics	T40.4	2015	2015	2028	43188161	4.7
45-54 years	45-54	Other synthetic narcotics	T40.4	2016	2016	3953	42786679	9.2
45-54 years	45-54	Other synthetic narcotics	T40.4	2017	2017	5860	42374952	13.8
45-54 years	45-54	Other synthetic narcotics	T40.4	2018	2018	6230	41631699	15
45-54 years	45-54	Other synthetic narcotics	T40.4	2019	2019	7202	40874902	17.6
45-54 years	45-54	Cocaine	T40.5	1999	1999	1055	36577819	2.9
45-54 years	45-54	Cocaine	T40.5	2000	2000	1069	37677952	2.8
45-54 years	45-54	Cocaine	T40.5	2001	2001	1188	39386268	3
45-54 years	45-54	Cocaine	T40.5	2002	2002	1523	39992194	3.8
45-54 years	45-54	Cocaine	T40.5	2003	2003	1755	40819954	4.3
45-54 years	45-54	Cocaine	T40.5	2004	2004	1962	41629930	4.7
45-54 years	45-54	Cocaine	T40.5	2005	2005	2232	42495904	5.3
45-54 years	45-54	Cocaine	T40.5	2006	2006	2778	43286159	6.4
45-54 years	45-54	Cocaine	T40.5	2007	2007	2463	43939939	5.6
45-54 years	45-54	Cocaine	T40.5	2008	2008	2043	44460447	4.6
45-54 years	45-54	Cocaine	T40.5	2009	2009	1803	44867088	4
45-54 years	45-54	Cocaine	T40.5	2010	2010	1718	45006716	3.8
45-54 years	45-54	Cocaine	T40.5	2011	2011	1780	44718203	4
45-54 years	45-54	Cocaine	T40.5	2012	2012	1753	44268738	4
45-54 years	45-54	Cocaine	T40.5	2013	2013	1833	43767532	4.2
45-54 years	45-54	Cocaine	T40.5	2014	2014	1821	43458851	4.2
45-54 years	45-54	Cocaine	T40.5	2015	2015	2067	43188161	4.8
45-54 years	45-54	Cocaine	T40.5	2016	2016	2876	42786679	6.7
45-54 years	45-54	Cocaine	T40.5	2017	2017	3794	42374952	9
45-54 years	45-54	Cocaine	T40.5	2018	2018	3697	41631699	8.9
45-54 years	45-54	Cocaine	T40.5	2019	2019	3993	40874902	9.8
45-54 years	45-54	Other and unspecified narcotics	T40.6	1999	1999	758	36577819	2.1
45-54 years	45-54	Other and unspecified narcotics	T40.6	2000	2000	772	37677952	2
45-54 years	45-54	Other and unspecified narcotics	T40.6	2001	2001	809	39386268	2.1
45-54 years	45-54	Other and unspecified narcotics	T40.6	2002	2002	942	39992194	2.4
45-54 years	45-54	Other and unspecified narcotics	T40.6	2003	2003	943	40819954	2.3
45-54 years	45-54	Other and unspecified narcotics	T40.6	2004	2004	855	41629930	2.1
45-54 years	45-54	Other and unspecified narcotics	T40.6	2005	2005	960	42495904	2.3
45-54 years	45-54	Other and unspecified narcotics	T40.6	2006	2006	948	43286159	2.2
45-54 years	45-54	Other and unspecified narcotics	T40.6	2007	2007	850	43939939	1.9
45-54 years	45-54	Other and unspecified narcotics	T40.6	2008	2008	884	44460447	2
45-54 years	45-54	Other and unspecified narcotics	T40.6	2009	2009	794	44867088	1.8
45-54 years	45-54	Other and unspecified narcotics	T40.6	2010	2010	694	45006716	1.5
45-54 years	45-54	Other and unspecified narcotics	T40.6	2011	2011	763	44718203	1.7
45-54 years	45-54	Other and unspecified narcotics	T40.6	2012	2012	828	44268738	1.9
45-54 years	45-54	Other and unspecified narcotics	T40.6	2013	2013	713	43767532	1.6
45-54 years	45-54	Other and unspecified narcotics	T40.6	2014	2014	616	43458851	1.4
45-54 years	45-54	Other and unspecified narcotics	T40.6	2015	2015	705	43188161	1.6
45-54 years	45-54	Other and unspecified narcotics	T40.6	2016	2016	626	42786679	1.5
45-54 years	45-54	Other and unspecified narcotics	T40.6	2017	2017	557	42374952	1.3
45-54 years	45-54	Other and unspecified narcotics	T40.6	2018	2018	404	41631699	1
45-54 years	45-54	Other and unspecified narcotics	T40.6	2019	2019	328	40874902	0.8
45-54 years	45-54	Cannabis (derivatives)	T40.7	1999	1999	5	36577819	Unreliable
45-54 years	45-54	Cannabis (derivatives)	T40.7	2000	2000	4	37677952	Unreliable
45-54 years	45-54	Cannabis (derivatives)	T40.7	2001	2001	9	39386268	Unreliable
45-54 years	45-54	Cannabis (derivatives)	T40.7	2002	2002	11	39992194	Unreliable
45-54 years	45-54	Cannabis (derivatives)	T40.7	2003	2003	16	40819954	Unreliable
45-54 years	45-54	Cannabis (derivatives)	T40.7	2004	2004	25	41629930	0.1
45-54 years	45-54	Cannabis (derivatives)	T40.7	2005	2005	31	42495904	0.1
45-54 years	45-54	Cannabis (derivatives)	T40.7	2006	2006	40	43286159	0.1
45-54 years	45-54	Cannabis (derivatives)	T40.7	2007	2007	32	43939939	0.1
45-54 years	45-54	Cannabis (derivatives)	T40.7	2008	2008	29	44460447	0.1
45-54 years	45-54	Cannabis (derivatives)	T40.7	2009	2009	41	44867088	0.1
45-54 years	45-54	Cannabis (derivatives)	T40.7	2010	2010	52	45006716	0.1
45-54 years	45-54	Cannabis (derivatives)	T40.7	2011	2011	64	44718203	0.1
45-54 years	45-54	Cannabis (derivatives)	T40.7	2012	2012	75	44268738	0.2
45-54 years	45-54	Cannabis (derivatives)	T40.7	2013	2013	73	43767532	0.2
45-54 years	45-54	Cannabis (derivatives)	T40.7	2014	2014	95	43458851	0.2
45-54 years	45-54	Cannabis (derivatives)	T40.7	2015	2015	108	43188161	0.3
45-54 years	45-54	Cannabis (derivatives)	T40.7	2016	2016	131	42786679	0.3
45-54 years	45-54	Cannabis (derivatives)	T40.7	2017	2017	168	42374952	0.4
45-54 years	45-54	Cannabis (derivatives)	T40.7	2018	2018	189	41631699	0.5
45-54 years	45-54	Cannabis (derivatives)	T40.7	2019	2019	196	40874902	0.5
45-54 years	45-54	Lysergide [LSD]	T40.8	1999	1999	0	36577819	Unreliable
45-54 years	45-54	Lysergide [LSD]	T40.8	2000	2000	0	37677952	Unreliable
45-54 years	45-54	Lysergide [LSD]	T40.8	2001	2001	0	39386268	Unreliable
45-54 years	45-54	Lysergide [LSD]	T40.8	2002	2002	0	39992194	Unreliable
45-54 years	45-54	Lysergide [LSD]	T40.8	2003	2003	0	40819954	Unreliable
45-54 years	45-54	Lysergide [LSD]	T40.8	2004	2004	0	41629930	Unreliable
45-54 years	45-54	Lysergide [LSD]	T40.8	2005	2005	0	42495904	Unreliable
45-54 years	45-54	Lysergide [LSD]	T40.8	2006	2006	0	43286159	Unreliable
45-54 years	45-54	Lysergide [LSD]	T40.8	2007	2007	0	43939939	Unreliable
45-54 years	45-54	Lysergide [LSD]	T40.8	2008	2008	0	44460447	Unreliable
45-54 years	45-54	Lysergide [LSD]	T40.8	2009	2009	0	44867088	Unreliable
45-54 years	45-54	Lysergide [LSD]	T40.8	2010	2010	0	45006716	Unreliable
45-54 years	45-54	Lysergide [LSD]	T40.8	2011	2011	0	44718203	Unreliable
45-54 years	45-54	Lysergide [LSD]	T40.8	2012	2012	0	44268738	Unreliable
45-54 years	45-54	Lysergide [LSD]	T40.8	2013	2013	0	43767532	Unreliable
45-54 years	45-54	Lysergide [LSD]	T40.8	2014	2014	0	43458851	Unreliable
45-54 years	45-54	Lysergide [LSD]	T40.8	2015	2015	1	43188161	Unreliable
45-54 years	45-54	Lysergide [LSD]	T40.8	2016	2016	1	42786679	Unreliable
45-54 years	45-54	Lysergide [LSD]	T40.8	2017	2017	2	42374952	Unreliable
45-54 years	45-54	Lysergide [LSD]	T40.8	2018	2018	1	41631699	Unreliable
45-54 years	45-54	Lysergide [LSD]	T40.8	2019	2019	2	40874902	Unreliable
45-54 years	45-54	Other and unspecified psychodysleptics [hallucinogens]	T40.9	1999	1999	1	36577819	Unreliable
45-54 years	45-54	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2000	2000	1	37677952	Unreliable
45-54 years	45-54	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2001	2001	2	39386268	Unreliable
45-54 years	45-54	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2002	2002	0	39992194	Unreliable
45-54 years	45-54	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2003	2003	2	40819954	Unreliable
45-54 years	45-54	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2004	2004	3	41629930	Unreliable
45-54 years	45-54	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2005	2005	3	42495904	Unreliable
45-54 years	45-54	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2006	2006	3	43286159	Unreliable
45-54 years	45-54	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2007	2007	2	43939939	Unreliable
45-54 years	45-54	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2008	2008	0	44460447	Unreliable
45-54 years	45-54	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2009	2009	1	44867088	Unreliable
45-54 years	45-54	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2010	2010	0	45006716	Unreliable
45-54 years	45-54	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2011	2011	1	44718203	Unreliable
45-54 years	45-54	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2012	2012	5	44268738	Unreliable
45-54 years	45-54	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2013	2013	4	43767532	Unreliable
45-54 years	45-54	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2014	2014	2	43458851	Unreliable
45-54 years	45-54	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2015	2015	3	43188161	Unreliable
45-54 years	45-54	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2016	2016	3	42786679	Unreliable
45-54 years	45-54	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2017	2017	2	42374952	Unreliable
45-54 years	45-54	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2018	2018	1	41631699	Unreliable
45-54 years	45-54	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2019	2019	3	40874902	Unreliable
55-64 years	55-64	Opium	T40.0	1999	1999	0	23778026	Unreliable
55-64 years	55-64	Opium	T40.0	2000	2000	0	24274684	Unreliable
55-64 years	55-64	Opium	T40.0	2001	2001	0	25105295	Unreliable
55-64 years	55-64	Opium	T40.0	2002	2002	0	26703332	Unreliable
55-64 years	55-64	Opium	T40.0	2003	2003	1	28008945	Unreliable
55-64 years	55-64	Opium	T40.0	2004	2004	0	29305304	Unreliable
55-64 years	55-64	Opium	T40.0	2005	2005	1	30641497	Unreliable
55-64 years	55-64	Opium	T40.0	2006	2006	0	31930113	Unreliable
55-64 years	55-64	Opium	T40.0	2007	2007	0	33128434	Unreliable
55-64 years	55-64	Opium	T40.0	2008	2008	1	34157063	Unreliable
55-64 years	55-64	Opium	T40.0	2009	2009	0	35405600	Unreliable
55-64 years	55-64	Opium	T40.0	2010	2010	0	36482729	Unreliable
55-64 years	55-64	Opium	T40.0	2011	2011	0	38062140	Unreliable
55-64 years	55-64	Opium	T40.0	2012	2012	0	38586202	Unreliable
55-64 years	55-64	Opium	T40.0	2013	2013	0	39316431	Unreliable
55-64 years	55-64	Opium	T40.0	2014	2014	0	40077581	Unreliable
55-64 years	55-64	Opium	T40.0	2015	2015	0	40877819	Unreliable
55-64 years	55-64	Opium	T40.0	2016	2016	0	41463144	Unreliable
55-64 years	55-64	Opium	T40.0	2017	2017	3	41995658	Unreliable
55-64 years	55-64	Opium	T40.0	2018	2018	2	42272636	Unreliable
55-64 years	55-64	Opium	T40.0	2019	2019	1	42448537	Unreliable
55-64 years	55-64	Heroin	T40.1	1999	1999	69	23778026	0.3
55-64 years	55-64	Heroin	T40.1	2000	2000	68	24274684	0.3
55-64 years	55-64	Heroin	T40.1	2001	2001	71	25105295	0.3
55-64 years	55-64	Heroin	T40.1	2002	2002	87	26703332	0.3
55-64 years	55-64	Heroin	T40.1	2003	2003	100	28008945	0.4
55-64 years	55-64	Heroin	T40.1	2004	2004	118	29305304	0.4
55-64 years	55-64	Heroin	T40.1	2005	2005	127	30641497	0.4
55-64 years	55-64	Heroin	T40.1	2006	2006	154	31930113	0.5
55-64 years	55-64	Heroin	T40.1	2007	2007	163	33128434	0.5
55-64 years	55-64	Heroin	T40.1	2008	2008	241	34157063	0.7
55-64 years	55-64	Heroin	T40.1	2009	2009	263	35405600	0.7
55-64 years	55-64	Heroin	T40.1	2010	2010	256	36482729	0.7
55-64 years	55-64	Heroin	T40.1	2011	2011	380	38062140	1
55-64 years	55-64	Heroin	T40.1	2012	2012	499	38586202	1.3
55-64 years	55-64	Heroin	T40.1	2013	2013	832	39316431	2.1
55-64 years	55-64	Heroin	T40.1	2014	2014	1090	40077581	2.7
55-64 years	55-64	Heroin	T40.1	2015	2015	1432	40877819	3.5
55-64 years	55-64	Heroin	T40.1	2016	2016	1825	41463144	4.4
55-64 years	55-64	Heroin	T40.1	2017	2017	2034	41995658	4.8
55-64 years	55-64	Heroin	T40.1	2018	2018	2125	42272636	5
55-64 years	55-64	Heroin	T40.1	2019	2019	2216	42448537	5.2
55-64 years	55-64	Other opioids	T40.2	1999	1999	166	23778026	0.7
55-64 years	55-64	Other opioids	T40.2	2000	2000	190	24274684	0.8
55-64 years	55-64	Other opioids	T40.2	2001	2001	229	25105295	0.9
55-64 years	55-64	Other opioids	T40.2	2002	2002	331	26703332	1.2
55-64 years	55-64	Other opioids	T40.2	2003	2003	441	28008945	1.6
55-64 years	55-64	Other opioids	T40.2	2004	2004	527	29305304	1.8
55-64 years	55-64	Other opioids	T40.2	2005	2005	615	30641497	2
55-64 years	55-64	Other opioids	T40.2	2006	2006	834	31930113	2.6
55-64 years	55-64	Other opioids	T40.2	2007	2007	1046	33128434	3.2
55-64 years	55-64	Other opioids	T40.2	2008	2008	1235	34157063	3.6
55-64 years	55-64	Other opioids	T40.2	2009	2009	1408	35405600	4
55-64 years	55-64	Other opioids	T40.2	2010	2010	1640	36482729	4.5
55-64 years	55-64	Other opioids	T40.2	2011	2011	1832	38062140	4.8
55-64 years	55-64	Other opioids	T40.2	2012	2012	1954	38586202	5.1
55-64 years	55-64	Other opioids	T40.2	2013	2013	2246	39316431	5.7
55-64 years	55-64	Other opioids	T40.2	2014	2014	2567	40077581	6.4
55-64 years	55-64	Other opioids	T40.2	2015	2015	2770	40877819	6.8
55-64 years	55-64	Other opioids	T40.2	2016	2016	3147	41463144	7.6
55-64 years	55-64	Other opioids	T40.2	2017	2017	3151	41995658	7.5
55-64 years	55-64	Other opioids	T40.2	2018	2018	2936	42272636	6.9
55-64 years	55-64	Other opioids	T40.2	2019	2019	2705	42448537	6.4
55-64 years	55-64	Methadone	T40.3	1999	1999	26	23778026	0.1
55-64 years	55-64	Methadone	T40.3	2000	2000	46	24274684	0.2
55-64 years	55-64	Methadone	T40.3	2001	2001	70	25105295	0.3
55-64 years	55-64	Methadone	T40.3	2002	2002	113	26703332	0.4
55-64 years	55-64	Methadone	T40.3	2003	2003	167	28008945	0.6
55-64 years	55-64	Methadone	T40.3	2004	2004	232	29305304	0.8
55-64 years	55-64	Methadone	T40.3	2005	2005	310	30641497	1
55-64 years	55-64	Methadone	T40.3	2006	2006	380	31930113	1.2
55-64 years	55-64	Methadone	T40.3	2007	2007	485	33128434	1.5
55-64 years	55-64	Methadone	T40.3	2008	2008	450	34157063	1.3
55-64 years	55-64	Methadone	T40.3	2009	2009	544	35405600	1.5
55-64 years	55-64	Methadone	T40.3	2010	2010	588	36482729	1.6
55-64 years	55-64	Methadone	T40.3	2011	2011	609	38062140	1.6
55-64 years	55-64	Methadone	T40.3	2012	2012	623	38586202	1.6
55-64 years	55-64	Methadone	T40.3	2013	2013	639	39316431	1.6
55-64 years	55-64	Methadone	T40.3	2014	2014	666	40077581	1.7
55-64 years	55-64	Methadone	T40.3	2015	2015	671	40877819	1.6
55-64 years	55-64	Methadone	T40.3	2016	2016	744	41463144	1.8
55-64 years	55-64	Methadone	T40.3	2017	2017	747	41995658	1.8
55-64 years	55-64	Methadone	T40.3	2018	2018	710	42272636	1.7
55-64 years	55-64	Methadone	T40.3	2019	2019	673	42448537	1.6
55-64 years	55-64	Other synthetic narcotics	T40.4	1999	1999	62	23778026	0.3
55-64 years	55-64	Other synthetic narcotics	T40.4	2000	2000	79	24274684	0.3
55-64 years	55-64	Other synthetic narcotics	T40.4	2001	2001	85	25105295	0.3
55-64 years	55-64	Other synthetic narcotics	T40.4	2002	2002	122	26703332	0.5
55-64 years	55-64	Other synthetic narcotics	T40.4	2003	2003	118	28008945	0.4
55-64 years	55-64	Other synthetic narcotics	T40.4	2004	2004	141	29305304	0.5
55-64 years	55-64	Other synthetic narcotics	T40.4	2005	2005	173	30641497	0.6
55-64 years	55-64	Other synthetic narcotics	T40.4	2006	2006	260	31930113	0.8
55-64 years	55-64	Other synthetic narcotics	T40.4	2007	2007	270	33128434	0.8
55-64 years	55-64	Other synthetic narcotics	T40.4	2008	2008	305	34157063	0.9
55-64 years	55-64	Other synthetic narcotics	T40.4	2009	2009	463	35405600	1.3
55-64 years	55-64	Other synthetic narcotics	T40.4	2010	2010	479	36482729	1.3
55-64 years	55-64	Other synthetic narcotics	T40.4	2011	2011	433	38062140	1.1
55-64 years	55-64	Other synthetic narcotics	T40.4	2012	2012	465	38586202	1.2
55-64 years	55-64	Other synthetic narcotics	T40.4	2013	2013	602	39316431	1.5
55-64 years	55-64	Other synthetic narcotics	T40.4	2014	2014	781	40077581	1.9
55-64 years	55-64	Other synthetic narcotics	T40.4	2015	2015	1215	40877819	3
55-64 years	55-64	Other synthetic narcotics	T40.4	2016	2016	2297	41463144	5.5
55-64 years	55-64	Other synthetic narcotics	T40.4	2017	2017	3553	41995658	8.5
55-64 years	55-64	Other synthetic narcotics	T40.4	2018	2018	4106	42272636	9.7
55-64 years	55-64	Other synthetic narcotics	T40.4	2019	2019	5190	42448537	12.2
55-64 years	55-64	Cocaine	T40.5	1999	1999	190	23778026	0.8
55-64 years	55-64	Cocaine	T40.5	2000	2000	151	24274684	0.6
55-64 years	55-64	Cocaine	T40.5	2001	2001	202	25105295	0.8
55-64 years	55-64	Cocaine	T40.5	2002	2002	286	26703332	1.1
55-64 years	55-64	Cocaine	T40.5	2003	2003	366	28008945	1.3
55-64 years	55-64	Cocaine	T40.5	2004	2004	431	29305304	1.5
55-64 years	55-64	Cocaine	T40.5	2005	2005	570	30641497	1.9
55-64 years	55-64	Cocaine	T40.5	2006	2006	697	31930113	2.2
55-64 years	55-64	Cocaine	T40.5	2007	2007	750	33128434	2.3
55-64 years	55-64	Cocaine	T40.5	2008	2008	669	34157063	2
55-64 years	55-64	Cocaine	T40.5	2009	2009	662	35405600	1.9
55-64 years	55-64	Cocaine	T40.5	2010	2010	753	36482729	2.1
55-64 years	55-64	Cocaine	T40.5	2011	2011	876	38062140	2.3
55-64 years	55-64	Cocaine	T40.5	2012	2012	891	38586202	2.3
55-64 years	55-64	Cocaine	T40.5	2013	2013	1011	39316431	2.6
55-64 years	55-64	Cocaine	T40.5	2014	2014	1090	40077581	2.7
55-64 years	55-64	Cocaine	T40.5	2015	2015	1334	40877819	3.3
55-64 years	55-64	Cocaine	T40.5	2016	2016	1975	41463144	4.8
55-64 years	55-64	Cocaine	T40.5	2017	2017	2611	41995658	6.2
55-64 years	55-64	Cocaine	T40.5	2018	2018	2985	42272636	7.1
55-64 years	55-64	Cocaine	T40.5	2019	2019	3388	42448537	8
55-64 years	55-64	Other and unspecified narcotics	T40.6	1999	1999	114	23778026	0.5
55-64 years	55-64	Other and unspecified narcotics	T40.6	2000	2000	120	24274684	0.5
55-64 years	55-64	Other and unspecified narcotics	T40.6	2001	2001	135	25105295	0.5
55-64 years	55-64	Other and unspecified narcotics	T40.6	2002	2002	150	26703332	0.6
55-64 years	55-64	Other and unspecified narcotics	T40.6	2003	2003	191	28008945	0.7
55-64 years	55-64	Other and unspecified narcotics	T40.6	2004	2004	210	29305304	0.7
55-64 years	55-64	Other and unspecified narcotics	T40.6	2005	2005	216	30641497	0.7
55-64 years	55-64	Other and unspecified narcotics	T40.6	2006	2006	256	31930113	0.8
55-64 years	55-64	Other and unspecified narcotics	T40.6	2007	2007	264	33128434	0.8
55-64 years	55-64	Other and unspecified narcotics	T40.6	2008	2008	343	34157063	1
55-64 years	55-64	Other and unspecified narcotics	T40.6	2009	2009	346	35405600	1
55-64 years	55-64	Other and unspecified narcotics	T40.6	2010	2010	312	36482729	0.9
55-64 years	55-64	Other and unspecified narcotics	T40.6	2011	2011	389	38062140	1
55-64 years	55-64	Other and unspecified narcotics	T40.6	2012	2012	384	38586202	1
55-64 years	55-64	Other and unspecified narcotics	T40.6	2013	2013	415	39316431	1.1
55-64 years	55-64	Other and unspecified narcotics	T40.6	2014	2014	432	40077581	1.1
55-64 years	55-64	Other and unspecified narcotics	T40.6	2015	2015	436	40877819	1.1
55-64 years	55-64	Other and unspecified narcotics	T40.6	2016	2016	451	41463144	1.1
55-64 years	55-64	Other and unspecified narcotics	T40.6	2017	2017	420	41995658	1
55-64 years	55-64	Other and unspecified narcotics	T40.6	2018	2018	336	42272636	0.8
55-64 years	55-64	Other and unspecified narcotics	T40.6	2019	2019	309	42448537	0.7
55-64 years	55-64	Cannabis (derivatives)	T40.7	1999	1999	2	23778026	Unreliable
55-64 years	55-64	Cannabis (derivatives)	T40.7	2000	2000	2	24274684	Unreliable
55-64 years	55-64	Cannabis (derivatives)	T40.7	2001	2001	0	25105295	Unreliable
55-64 years	55-64	Cannabis (derivatives)	T40.7	2002	2002	0	26703332	Unreliable
55-64 years	55-64	Cannabis (derivatives)	T40.7	2003	2003	1	28008945	Unreliable
55-64 years	55-64	Cannabis (derivatives)	T40.7	2004	2004	2	29305304	Unreliable
55-64 years	55-64	Cannabis (derivatives)	T40.7	2005	2005	4	30641497	Unreliable
55-64 years	55-64	Cannabis (derivatives)	T40.7	2006	2006	4	31930113	Unreliable
55-64 years	55-64	Cannabis (derivatives)	T40.7	2007	2007	3	33128434	Unreliable
55-64 years	55-64	Cannabis (derivatives)	T40.7	2008	2008	13	34157063	Unreliable
55-64 years	55-64	Cannabis (derivatives)	T40.7	2009	2009	16	35405600	Unreliable
55-64 years	55-64	Cannabis (derivatives)	T40.7	2010	2010	24	36482729	0.1
55-64 years	55-64	Cannabis (derivatives)	T40.7	2011	2011	33	38062140	0.1
55-64 years	55-64	Cannabis (derivatives)	T40.7	2012	2012	25	38586202	0.1
55-64 years	55-64	Cannabis (derivatives)	T40.7	2013	2013	36	39316431	0.1
55-64 years	55-64	Cannabis (derivatives)	T40.7	2014	2014	46	40077581	0.1
55-64 years	55-64	Cannabis (derivatives)	T40.7	2015	2015	65	40877819	0.2
55-64 years	55-64	Cannabis (derivatives)	T40.7	2016	2016	74	41463144	0.2
55-64 years	55-64	Cannabis (derivatives)	T40.7	2017	2017	115	41995658	0.3
55-64 years	55-64	Cannabis (derivatives)	T40.7	2018	2018	127	42272636	0.3
